Jumlah Bulan Laporan,10,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,2025,,,,,,,,,,,,,,,,,,,
,PROVINSI SUMATERA SELATAN,,,,,,,,,,,,,,,,,,,
,KAB. BANYUASIN,KAB. EMPAT LAWANG,KAB. LAHAT,KAB. MUARA ENIM,KAB. MUSI BANYUASIN,KAB. MUSI RAWAS,KAB. MUSI RAWAS UTARA,KAB. OGAN ILIR,KAB. OGAN KOMERING ILIR,KAB. OGAN KOMERING ULU,KAB. OGAN KOMERING ULU SELATAN,KAB. OGAN KOMERING ULU TIMUR,KAB. PENUKAL ABAB LEMATANG ILIR,KOTA LUBUK LINGGAU,KOTA PAGAR ALAM,KOTA PALEMBANG,KOTA PRABUMULIH,All,,
PERDAGANGAN BESAR GULA,,,,,11129788,,,,,,,,,64952016,,1572362482,,1648444286,,
PERDAGANGAN BESAR HASIL KEHUTANAN DAN PERBURUAN LAINNYA,,73599336,44231710,,,,,,1500000000,408791772,,,,10120649333,,10872630745,966211276,23986114172,,
PERDAGANGAN BESAR HASIL PERIKANAN,,,2302180376,5715503148,2657713353,94878164,,,22114760781,18509675534,,,,19420565044,5080131876,57492872832,5364464041,138752745149,,
PERDAGANGAN BESAR HASIL PERTANIAN DAN HEWAN HIDUP LAINNYA,12041100,448249316,16710951593,15409779473,13578462190,,,,38172508792,31523380545,,,,27085816112,85387621726,112308235765,14371378038,355008424650,,
PERDAGANGAN BESAR JAGUNG,51570103,,256360833,,,,,,70343329,19696087772,76222196,,,307294805,628842564,30328905872,479928469,51895555943,,
PERDAGANGAN BESAR KERTAS DAN KARTON,,,,,,,,,,,,,,,,302815385,3087342954,3390158339,,
PERDAGANGAN BESAR KOPI,,1024140182,4776385312,10309324056,,,,,1701621220,13151819637,285000000,,,13019656166,25511171244,13827731783,3507598500,87114448100,,
PERDAGANGAN BESAR KULIT DAN KULIT JANGAT,,,,,,,,,,44882447,,,,,,,,44882447,,
PERDAGANGAN BESAR LOGAM DAN BIJIH LOGAM,,,,,2081762017,,,,24367338556,2147650842,,,,1568798227,,220726062496,994947143,251886559281,,
PERDAGANGAN BESAR MAKANAN DAN MINUMAN LAINNYA,,,7240585274,981800908,6355502667,,,,17552755757,26500271471,,25934420,,76086936373,3905085935,541214193982,25430023669,705293090456,,
"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPANNYA",,181329130,2836013738,,3158946609,,,,949580534,1019909355,,,,4607823621,15606719,313632518959,3919677034,330321405699,,
PERDAGANGAN BESAR MINYAK DAN LEMAK NABATI,,,,,203218738,,,,,426516838,,,,2000000000,,60675241513,,63304977089,,
PERDAGANGAN BESAR PADI DAN PALAWIJA LAINNYA,,878671198,460000000,123309718,,60718642,,,5485969426,7130974922,,149101992,,85116402,1105911675,7563879731,147440773,23191094479,,
PERDAGANGAN BESAR PAKAIAN,,,53248679,,41011096,,,,1123983043,302647719,,,,201686967,10434995,1276676663,687976226,3697665388,,
PERDAGANGAN BESAR PRODUK LAINNYA YTDL,,,118157642,13339640,311933938,,,,4304593374,4496033192,,,,9865751935,507236871,224076389015,20263869839,263957305446,,
PERDAGANGAN BESAR PUPUK DAN PRODUK AGROKIMIA,,,4343548170,1438563270,2433630619,576843262,49833920,,29486452979,48916414981,367650869,1379646154,116727810,8112483774,7780434629,155447775852,6232129494,266682135783,,
PERDAGANGAN BESAR ROKOK DAN TEMBAKAU,,,44294010,8299708761,75870325,,,,30856478,717174071,,,,,62987662,16707189239,86835462,26024916008,,
PERDAGANGAN BESAR TEH,,,,233639618,,,,,,,,,,,,,,233639618,,
PERDAGANGAN BESAR TEKSTIL,,,,214419991,131474777,335114565,,131457218,,,,,,365794732,,15359305469,104593541,16642160293,,
"PERDAGANGAN BESAR TEKSTIL, PAKAIAN DAN ALAS KAKI LAINNYA",,,1721032039,2477886152,2383260383,,,,3053094916,4025803784,,,,4750670616,910849191,33294805965,2923249385,55540652431,,
PERDAGANGAN BESAR TEMBAKAU RAJANGAN,,,33923478,301695262,,,,,137601663,164878395,,,,255567072,62830195,834478848,90485216,1881460129,,
PERDAGANGAN BESAR UDANG OLAHAN,,,,,,,,,,,,,,,,90783579,,90783579,,
PERDAGANGAN BIJI KELAPA SAWIT,,22217126,25524606880,14798455804,46256929883,,,,70954662047,17360136812,,,,108932945331,334349734,225216994232,5762015123,515163312972,,
PERDAGANGAN CENGKEH,,,,,,,,,,1204550660,,,,,,517352586,,1721903246,,
PERDAGANGAN ECERAN BAHAN BAKAR BUKAN BAHAN BAKAR UNTUK KENDARAAN BERMOTOR DI TOKO,35346724,172107550,5453877188,5151551147,743327222,,,8968490,2434519877,14934880877,,236066749,,19105277016,2406641020,203016210391,1125799260,254824573511,,
PERDAGANGAN ECERAN BARANG KERAJINAN DAN LUKISAN DI TOKO,3487085,90057758,476467637,1349150550,1833427793,63561840,166663778,126504276,3509548822,1306763340,46916595,202855753,,1396960588,1631009509,21967158201,1153693473,35324226998,,
PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG DIDOMINASI OLEH BARANG BUKAN MAKANAN DAN TEMBAKAU DI TOKO,,,3425299090,5058340795,1002479524,20309262,,,10592060644,43632364446,,,,41522054602,476870051,585686536940,21693994658,713110310012,,
"PERDAGANGAN ECERAN BUKAN DI TOKO, KIOS, KAKI LIMA DAN LOS PASAR LAINNYA",,67111414,1592318798,463069317,2300336445,,,66485512,5790939804,1629128778,560641812,5949286,,4502482502,1557163931,7152613788,566687954,26254929341,,
"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BAHAN BAKAR MINYAK, GAS, MINYAK PELUMAS DAN BAHAN BAKAR LAINNYA",,233682170,3248722229,639183017,,,,,1947136793,1842296597,,,,859355240,492015342,6245567366,1202965102,16710923856,,
