Provinsi,Kab/Kota,Tahun,Bulan,Jenis Bank,Skema,Aset,Kredit ,DPK,NPL
Sumatera Selatan,Kab. Ogan Komering Ulu,2023,Juni,Bank Umum,Konvensional,4026.609499551,3940.929437894,3071.500574478,121.958402586
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2023,Juni,Bank Umum,Konvensional,760.789529123,721.768205351,352.588476768,16.491046938
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2023,Juni,Bank Umum,Konvensional,1029.101224114,984.694101895,577.617839009,17.356532719
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2023,Juni,Bank Umum,Konvensional,605.678746895,325.376766846,587.263549876,8.666301564
Sumatera Selatan,Kota Lubuklinggau,2023,Juni,Bank Umum,Konvensional,4065.363177314,4010.951334224,3162.602941927,53.884113026
Sumatera Selatan,Kota Pagar Alam,2023,Juni,Bank Umum,Konvensional,1705.181867655,1688.939752552,988.272752464,43.853995199
Sumatera Selatan,Kota Palembang,2023,Juni,Bank Umum,Konvensional,66052.497335023,55644.8167422,57991.496105399,2023.997016718
Sumatera Selatan,Kota Prabumulih,2023,Juni,Bank Umum,Konvensional,4695.680817168,3576.048888735,4506.13203552,67.859738581
Sumatera Selatan,All Sumatera Selatan,2023,Juni,Bank Umum,Konvensional,102178.51794243,86068.758732077,91918.866387176,2712.730359859
Sumatera Selatan,Kab. Banyuasin,2023,Juli,Bank Umum,Konvensional,1026.170494086,1033.050908378,895.902251785,67.98695663
Sumatera Selatan,Kab. Empat Lawang,2023,Juli,Bank Umum,Konvensional,606.945575069,576.756818652,273.595038847,0.777136729
Sumatera Selatan,Kab. Lahat,2023,Juli,Bank Umum,Konvensional,2591.352959734,1946.002182561,2376.360175327,36.664027538
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2023,Juli,Bank Umum,Konvensional,6566.181423345,2775.97692323,6011.133210031,85.882771199
Sumatera Selatan,Kab. Musi Banyuasin,2023,Juli,Bank Umum,Konvensional,3279.162756223,3212.89236398,3099.218980178,74.899116637
Sumatera Selatan,Kab. Musi Rawas,2023,Juli,Bank Umum,Konvensional,546.17953683,479.669115646,528.524173571,9.984124646
Sumatera Selatan,Kab. Musi Rawas Utara,2023,Juli,Bank Umum,Konvensional,370.247363462,287.410808623,357.134643114,10.704315352
Sumatera Selatan,Kab. Ogan Ilir,2023,Juli,Bank Umum,Konvensional,862.41357674,690.784810637,829.752470985,8.446048629
Sumatera Selatan,Kab. Ogan Komering Ilir,2023,Juli,Bank Umum,Konvensional,4266.382701468,4285.168356084,3042.41608186,88.105063633
Sumatera Selatan,Kab. Ogan Komering Ulu,2023,Juli,Bank Umum,Konvensional,4037.261927667,3974.639103333,3092.962686569,141.441623788
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2023,Juli,Bank Umum,Konvensional,770.261592818,738.123993289,423.590131744,18.564974596
