Provinsi,Tahun,Bulan,Jenis Kredit/Pembiayaan,"Nominal Kredit 
(Rp Miliar)","Nominal NPL 
(Rp Miliar)",Nominal NPL Net (Rp Miliar),Jumlah Rekening UMKM
Sumatera Selatan,2023,Mei,Non UMKM,63384.583775024,1737.929199118,506.229058022,345819
KEPULAUAN BANGKA BELITUNG,2023,Mei,Non UMKM,8852.895610747,288.575000214,43.033395329,62440
Lampung,2023,Mei,Non UMKM,48480.92786065,972.365490416,265.442362387,241535
Jambi,2023,Mei,Non UMKM,27238.528573487,447.367659867,175.536152438,172992
Bengkulu,2023,Mei,Non UMKM,14230.090816465,200.90625202,107.297721507,110537
Sumatera Selatan,2023,Juni,Non UMKM,63577.74567004,1646.04520709,469.168079645,347794
KEPULAUAN BANGKA BELITUNG,2023,Juni,Non UMKM,8908.775324414,283.939354515,42.349149579,62805
Lampung,2023,Juni,Non UMKM,51033.124718131,745.083340576,245.105553722,242529
Jambi,2023,Juni,Non UMKM,27599.472368177,445.795505406,177.124358289,174025
Bengkulu,2023,Juni,Non UMKM,14279.113068876,199.188250845,105.38682443,111280
Sumatera Selatan,2023,Juli,Non UMKM,63731.213176249,1664.831681293,438.42270934,350126
KEPULAUAN BANGKA BELITUNG,2023,Juli,Non UMKM,9045.781153593,294.209766026,49.024548842,63165
Lampung,2023,Juli,Non UMKM,45346.130888064,760.41290739,254.639077301,243729
Jambi,2023,Juli,Non UMKM,26162.162854809,455.278447746,184.127077595,174883
Bengkulu,2023,Juli,Non UMKM,14363.021172782,215.220370192,75.252534146,111752
Sumatera Selatan,2023,Agustus,Non UMKM,65526.278359318,1787.823073628,518.609835779,353717
KEPULAUAN BANGKA BELITUNG,2023,Agustus,Non UMKM,9043.493154934,284.555274297,42.019904828,63780
Lampung,2023,Agustus,Non UMKM,46118.097734415,754.199409284,253.082520295,246136
Jambi,2023,Agustus,Non UMKM,26489.499133309,450.982174734,185.935309071,175922
Bengkulu,2023,Agustus,Non UMKM,14406.052910249,215.491175594,79.200007664,112320
Sumatera Selatan,2023,September,Non UMKM,66714.655494989,2289.159464171,811.550254653,357262
KEPULAUAN BANGKA BELITUNG,2023,September,Non UMKM,9180.32825932,286.558139056,44.144815106,64305
Lampung,2023,September,Non UMKM,46767.940824426,771.140453571,256.645744396,247776
Jambi,2023,September,Non UMKM,26689.500275327,445.271488766,176.509928913,176741
Bengkulu,2023,September,Non UMKM,14499.879323863,210.392930593,81.459858222,112829
Sumatera Selatan,2023,Oktober,Non UMKM,67011.019868835,2306.183407938,830.482280979,360967
KEPULAUAN BANGKA BELITUNG,2023,Oktober,Non UMKM,9363.940378302,287.442271141,41.616312034,64521
Lampung,2023,Oktober,Non UMKM,46434.815043859,766.52902431,243.965614189,248268
