Negara,Provinsi,Tahun,Bulan,Total Aset,Giro,Tabungan,Deposito,Total DPK ,Modal Kerja,Investasi,Konsumsi,Total Kredit,Nominal NPL Gross,Rasio NPL Gross,Nominal NPL Net,Rasio NPL Net,Loan to Deposit Rastio (LDR)
INDONESIA,LAMPUNG,2024,Agustus,90896.470053756,11293.989748657,36970.107274500995,19172.919963393004,67437.01699,40843.815285022996,9616.494654061999,31982.834915553,82443.14485,2131.134376267,0.02584974627,982.9430550940001,0.01192267783,1.222520635
INDONESIA,LAMPUNG,2024,September,91229.094881588,11776.786003699,37428.89910602601,18986.041716088,68191.72683,40998.17370316,9813.561233707,32319.193451355,83130.92839,2083.673215681,0.02506495785,968.640767608,0.01165199026,1.219076452
INDONESIA,LAMPUNG,2024,Oktober,91283.540952642,12177.135572493,37906.54378939,18691.368406073,68775.04777,40245.22182752001,9972.529827855,32602.797827744,82820.54948,2098.5300174480003,0.02533827692,963.742397384,0.01163651296,1.204223802
INDONESIA,LAMPUNG,2024,November,91323.9812938,11448.264959755,38358.969667121004,18464.039799639,68271.27443,40174.757172574,10133.403087669,32687.675961581,82995.83622,2058.688698795,0.02480472265,916.552284686,0.01104335261,1.215677266
INDONESIA,LAMPUNG,2024,Desember,92106.444442896,9216.248775586,39972.604619169004,18693.744673373,67882.59807,40666.444171336,10226.142181133002,32912.341595713,83804.92795,2139.21378394,0.0255261097,906.575968272,0.01081769283,1.234556872
INDONESIA,JAMBI,2023,Januari,52255.417898125,7526.031530683,24200.139530241002,13541.443509308001,45267.61457,15187.725780785,12141.748214893,20530.710959949,47860.18496,1033.91534906,0.02160282811,425.234180658,0.008884925561,1.057272079
INDONESIA,JAMBI,2023,Februari,52175.18171194899,7572.804889431,23917.499668621,13316.905798699,44807.21036,15350.220826982,12309.064336081,20613.9003255,48273.18549,1077.0258640929999,0.02231105847,446.562428228,0.00925073462,1.077353067
INDONESIA,JAMBI,2023,Maret,52865.142788683006,7443.037972895,23743.894874736998,13428.636912060001,44615.56976,15546.905170218,12544.292252043,20767.598440430997,48858.79586,1078.634510809,0.02207656762,460.045340333,0.009415814127,1.095106397
INDONESIA,JAMBI,2023,April,53375.998282347,7311.728476502,24307.320684912,13166.248914052,44785.29808,15594.207254553,12502.537801736,20804.169820447,48900.91488,1171.7164105010002,0.0239610325,520.982261817,0.01065383466,1.091896604
INDONESIA,JAMBI,2023,Mei,52701.897795393,6831.009587783,23913.373252587,13153.333977729,43897.71682,15760.762320907,12664.143043285,20849.973921617002,49274.87929,1081.975144258,0.02195794612,477.296817599,0.009686412722,1.122492987
